name	overlay	coab_addr	role_hint
stone_to_flesh	ovr005	-	
temple_heal	ovr005	-	
temple_shop	ovr005	-	
calc_battle_exp	ovr006	-	
addExp	ovr006	-	
CleanupPlayersStateAfterCombat	ovr006	sub_2D556	
displayCombatResults	ovr006	-	
select_treasure	ovr006	-	
take_items_treasure	ovr006	-	
take_treasure	ovr006	-	
distributeCombatTreasure	ovr006	-	
DeallocateNonTeamMemebers	ovr006	sub_2E3C7	
distributeNpcTreasure	ovr006	-	
AfterCombatExpAndTreasure	ovr006	sub_2E7A2	
ShopChooseItem	ovr007	sub_2F04E	
PlayerAddItem	ovr007	-	
shop_buy	ovr007	-	
CityShop	ovr007	sub_2F6E7	
vm_LoadCmdSets	ovr008	-	
vm_GetCmdValue	ovr008	sub_30168	
vm_init_ecl	ovr008	sub_301E8	
load_ecl_dax	ovr008	-	
sub_304B4	ovr008	-	
set_and_draw_head_body	ovr008	-	
sub_30580	ovr008	-	
inflateChar	ovr008	-	
deflateChar	ovr008	-	
vm_GetMemoryValueType	ovr008	sub_30723	
find_gbl_player_index	ovr008	-	
get_player_values	ovr008	-	
alter_character	ovr008	-	
vm_SetMemoryValue	ovr008	-	
vm_GetMemoryValue	ovr008	sub_30F16	
vm_WriteStringToMemory	ovr008	sub_3105D	
DecompressString	ovr008	-	
LoadCompressedEclString	ovr008	-	
vm_CopyStringFromMemory	ovr008	sub_31421	
buildMenuStrings	ovr008	-	
sub_317AA	ovr008	-	
compare_strings	ovr008	-	
compare_variables	ovr008	-	
MovePositionForward	ovr008	sub_31B01	
SetupDuel	ovr008	-	
RobMoney	ovr008	-	
RobItems	ovr008	-	
calc_group_movement	ovr008	-	
sub_32200	ovr008	-	
free_combat_stuff	ovr009	-	
MainCombatLoop	ovr009	sub_33100	
DoPlayerCombatTurn	ovr009	sub_33281	
combat_menu	ovr009	-	
combat_menu	ovr009	-	
BattleRoundChecks	ovr009	-	
sub_33B26	ovr009	-	
sub_33F03	ovr009	-	
delay_menu	ovr009	-	
set_gamespeed	ovr009	-	
SetPlayerQuickFight	ovr009	sub_3432F	
PlayerQuickFight	ovr010	sub_3504B	
turn_undead	ovr010	-	
ShouldCastSpellX_sub1	ovr010	sub_352AF	
ShouldCastSpellX	ovr010	sub_353B1	
sub_354AA	ovr010	-	
sub_3560B	ovr010	-	
CanMove	ovr010	sub_3573B	
moralFailureEscape	ovr010	sub_359D1	
sub_35DB1	ovr010	-	
set_background_tile	ovr011	-	
sub_370D3	ovr011	-	
sub_37306	ovr011	-	
get_dir_flags	ovr011	-	
build_background_tiles_1	ovr011	-	
build_background_tiles_2	ovr011	-	
build_backgrould_tiles_3	ovr011	-	
build_background_tiles_4	ovr011	-	
SetupDungeonFloor	ovr011	sub_378CD0	
SetupWildernessFloor01	ovr011	sub_37A00	
place_combatant	ovr011	-	
BattleSetup	ovr011	-	
Protected	ovr013	-	
addAffect	ovr013	-	
sub_3A071	ovr013	-	
Bless	ovr013	-	
Curse	ovr013	-	
SticksToSnakes	ovr013	-	
DispelEvil	ovr013	-	
BonusVsMonstersX	ovr013	sub_3A17A	
FaerieFire	ovr013	-	
affect_protect_evil	ovr013	-	
affect_protect_good	ovr013	-	
affect_resist_cold	ovr013	-	
affect_charm_person	ovr013	-	
Suffocates	ovr013	-	
AffectPoisonDamage	ovr013	sub_3A3BC	
AffectShield	ovr013	-	
AffectGnomeVsManSizedGiant	ovr013	sub_3A44A	
AffectResistFire	ovr013	-	
is_silenced1	ovr013	-	
AffectSlowPoison	ovr013	sub_3A517	
affect_spiritual_hammer	ovr013	-	
sub_3A6C6	ovr013	-	
AffectDwarfVsOrc	ovr013	sub_3A7E8	
MirrorImage	ovr013	-	
three_quarters_damage	ovr013	-	
StinkingCloud	ovr013	-	
sub_3A89E	ovr013	-	
AffectBlinded	ovr013	sub_3A951	
AffectCauseDisease	ovr013	sub_3A974	
AffectConfuse	ovr013	sub_3A9D9	
affect_curse	ovr013	-	
AffectBlink	ovr013	-	
AffectHaste	ovr013	-	
StinkingCloudAffect	ovr013	sub_3AC1D	
get_primary_weapon	ovr013	-	
AffectProtNormalMissles	ovr013	sub_3AFE0	
AffectSlow	ovr013	sub_3B01B	
weaken	ovr013	-	
sub_3B0C2	ovr013	-	
AffectDwarfGnomeVsGiants	ovr013	-	
sub_3B1A2	ovr013	-	
AffectPrayer	ovr013	sub_3B1C9	
HotFireShield	ovr013	sub_3B212	
ColdFireShield	ovr013	sub_3B243	
sub_3B27B	ovr013	sub_3B27B	
AffectClearMovement	ovr013	sub_3B29A	
AffectRegenration	ovr013	-	
AffectResistWeapons	ovr013	sub_3B2D8	
AffectFireResist	ovr013	-	
AffectHighConRegen	ovr013	-	
AffectMinorGlobeOfInvulnerability	ovr013	-	
PoisonAttack	ovr013	-	
AffectPoisonPlus0	ovr013	sub_3B520	
AffectPoisonPlus4	ovr013	sub_3B534	
AffectPoisonPlus2	ovr013	sub_3B548	
ThriKreenParalyze	ovr013	sub_3B55C	
AffectFeebleMind	ovr013	-	
AffectInvisToAnimals	ovr013	sub_3B636	
AffectPoisonNeg2	ovr013	sub_3B671	
AffectInvisible	ovr013	sub_3B685	
AffectCamouflage	ovr013	sub_3B696	
ProtDragonsBreath	ovr013	-	
AffectDragonSlayer	ovr013	sub_3B71A	
AffectFrostBrand	ovr013	sub_3B772	
AffectBerzerk	ovr013	-	
sub_3B8D9	ovr013	-	
MagicFireAttack_2d10	ovr013	sub_3B919	
AnkhegAcidAttack	ovr013	sub_3B94C	
half_damage	ovr013	-	
AffectResistFireAndCold	ovr013	sub_3B990	
AffectShamblerAbsorbLightning	ovr013	sub_3B9E1	
sub_3BA14	ovr013	-	
AffectDisplace	ovr013	-	
CloudKillAffect	ovr013	sub_3BAB9	
half_fire_damage	ovr013	sub_3BD98	
sub_3BDB2	ovr013	-	
sub_3BE06	ovr013	-	
con_saving_bonus	ovr013	-	
AffectRegen3Hp	ovr013	sub_3BEB8	
sub_3BEE8	ovr013	-	
AffectTrollFireOrAcid	ovr013	-	
AffectTrollRegenerate	ovr013	-	
AffectTrollRegen	ovr013	sub_3C01E	
AffectSalamanderHeatDamage	ovr013	sub_3C05D	
sub_3C0DA	ovr013	-	
ResistMagicPercent	ovr013	sub_3C0EE	
ResistMagic50Percent	ovr013	sub_3C14F	
ResistMagic15Percent	ovr013	sub_3C15D	
AffectElfRisistSleep	ovr013	sub_3C16B	
AffectProtCharmSleep	ovr013	sub_3C18F	
ResistParalyze	ovr013	sub_3C1A4	
AffectImmuneToCold	ovr013	sub_3C1B2	
sub_3C1C9	ovr013	-	
AffectImmuneToFire	ovr013	sub_3C1EA	
sub_3C201	ovr013	-	
AffectProtectionFromElectricity	ovr013	sub_3C246	
sub_3C260	ovr013	-	
half_damage_if_weap_magic	ovr013	-	
sub_3C2F9	ovr013	sub_3C2F9	
AffectProtCold	ovr013	sub_3C33C	
AffectProtNonMagicWeapons	ovr013	sub_3C356	
sub_3C3A2	ovr013	-	
sub_3C3F6	ovr013	-	
AffectDracolichParalysis	ovr013	-	
sub_3C59D	ovr013	-	
AffectHalfElfResistance	ovr013	sub_3C5D0	
sub_3C5F4	ovr013	-	
AffectProtMagic	ovr013	sub_3C623	
sub_3C643	ovr013	-	
do_items_affect	ovr013	-	
AffectDracolichA	ovr013	sub_3C750	
AffectRangerVsGiant	ovr013	sub_3C77C	
AffectProtElec	ovr013	sub_3C7B5	
AffectEntangle	ovr013	sub_3C7CC	
sub_3C7E0	ovr013	sub_3C7E0	
add_affect_19	ovr013	-	
PaladinCastCureRefresh	ovr013	sub_3C8EF	
AffectFear	ovr013	-	
sub_3C975	ovr013	-	
sp_dispel_evil	ovr013	-	
empty	ovr013	-	
SetupAffectTables	ovr013	-	
CallAffectTable	ovr013	-	
CalculateInitiative	ovr014	sub_3E000	
CalcMoves	ovr014	sub_3E124	
sub_3E748	ovr014	-	
move_step_away_attack	ovr014	-	
flee_battle	ovr014	-	
reclac_attacks	ovr014	sub_3EDD4	
ThisRoundActionCount	ovr014	sub_3EF0D	
TrySweepAttack	ovr014	sub_3EF3D	
CanSeeTargetA	ovr014	sub_3F143	
turns_undead	ovr014	-	
FindLowestE9Target	ovr014	-	
AttackTarget01	ovr014	sub_3F4EB	
RecalcAttacksReceived	ovr014	sub_3F94D	
AttackTarget	ovr014	sub_3F9DB	
RangedDefenseBonus	ovr014	-	
find_healing_target	ovr014	-	
sub_4001C	ovr014	-	
target	ovr014	-	
spell_menu3	ovr014	-	
CanBackStabTarget	ovr014	-	
getTargetDirection	ovr014	-	
DrawRangedAttack	ovr014	-	
calc_enemy_health_percentage	ovr014	-	
MaxOppositionMoves	ovr014	sub_40E8F	
can_attack_target	ovr014	-	
aim_sub_menu	ovr014	-	
sub_411D8	ovr014	-	
Target	ovr014	-	
step_combat_list	ovr014	-	
aim_menu	ovr014	-	
find_target	ovr014	-	
engulfs	ovr014	-	
LoadMissleIconAndDraw	ovr014	sub_42159	
sub_421C1	ovr014	sub_421C1	
attack_or_kill	ovr014	-	
sub_425C6	ovr014	-	
AffectOwlbearHugRoundAttack	ovr014	sub_426FC	
AffectOwlbearHugAttackCheck	ovr014	-	
god_intervene	ovr014	-	
MapSetDoorUnlocked	ovr015	-	
pick_lock	ovr015	-	
MovePartyForward	ovr015	-	
main_3d_world_menu	ovr015	-	
locked_door	ovr015	-	
sub_44032	ovr016	-	
cancel_spells	ovr016	-	
HowManySpellsPlayerCanLearn	ovr016	sub_4428E	
sub_443A0	ovr016	-	
cast_spell	ovr016	-	
rest_menu	ovr016	-	
memorize_spell	ovr016	-	
scribe_spell	ovr016	-	
BuildEffectNameMap	ovr016	-	
magic_menu	ovr016	-	
game_speed	ovr016	-	
alter_menu	ovr016	-	
CalculateTimeAndSpellNumbers	ovr016	sub_460ED	
MakeCamp	ovr016	-	
BuildLoadablePlayersLists	ovr017	sub_47465	
LoadPlayerCombatIcon	ovr017	-	
remove_player_file	ovr017	-	
SavePlayer	ovr017	sub_47DFC	
PlayerFileExists	ovr017	sub_483AE	
ConvertPoolRadPlayer	ovr017	-	
TransferHillsFarCharacter	ovr017	sub_48F35	
SilentTrainPlayer	ovr017	-	
import_char01	ovr017	-	
load_mob	ovr017	-	
load_mob	ovr017	-	
load_npc	ovr017	sub_4A57D	
AssignPlayerIconId	ovr017	sub_4A60A	
loadGameMenu	ovr017	-	
loadSaveGame	ovr017	-	
SaveGame	ovr017	-	
FreePlayer	ovr018	-	
startGameMenu	ovr018	-	
createPlayer	ovr018	-	
con_bonus	ovr018	-	
dropPlayer	ovr018	-	
draw_highlight_stat	ovr018	-	
modifyPlayer	ovr018	-	
AddPlayer	ovr018	-	
FreeCurrentPlayer	ovr018	-	
drawIconEditorIcons	ovr018	-	
duplicateCombatIcon	ovr018	-	
icon_builder	ovr018	-	
get_con_hp_adj	ovr018	-	
sub_506BA	ovr018	-	
calc_max_hp	ovr018	-	
sub_509E0	ovr018	-	
train_player	ovr018	-	
GetPixel	ovr019	-	
sub_52068	ovr019	-	
sub_520B8	ovr019	-	
sub_5279B	ovr019	-	
endgame_5285E	ovr019	-	
endgame_529F4	ovr019	-	
ShowAnimation	ovr019	sub_52B79	
end_game_text	ovr019	-	
playerDisplayFull	ovr020	-	
displayMoney	ovr020	-	
display_player_stats01	ovr020	-	
display_stat	ovr020	-	
viewPlayer	ovr020	-	
CanSellDropTradeItem	ovr020	sub_54EC1	
ItemDisplayStats	ovr020	-	
PlayerItemsMenu	ovr020	-	
calc_items_effects	ovr020	-	
ready_Item	ovr020	-	
trade_item	ovr020	-	
halve_items	ovr020	-	
join_items	ovr020	-	
UseMagicItem	ovr020	sub_56478	
ShopSellItem	ovr020	-	
IdentifyItem	ovr020	-	
tradeCoin	ovr020	-	
drop_coin	ovr020	-	
canCarry	ovr020	-	
scroll_team_list	ovr020	-	
spell_menu2	ovr020	-	
CanCastHeal	ovr020	-	
CanCastCureDiseases	ovr020	-	
PaladinHeal	ovr020	-	
PaladinCureDisease	ovr020	-	
step_game_time	ovr021	-	
rest_time_5849F	ovr021	-	
resting	ovr021	-	
get_max_load	ovr022	-	
willOverload	ovr022	-	
willOverload	ovr022	-	
addPlayerGold	ovr022	-	
AskNumberValue	ovr022	sub_592AD	
trade_money	ovr022	-	
poolMoney	ovr022	-	
GetPartyCount	ovr022	-	
share_pooled	ovr022	-	
DropCoins	ovr022	-	
PickupCoins	ovr022	-	
GetMoneyIndexFromString	ovr022	sub_59BAB	
TakePoolMoney	ovr022	-	
treasureOnGround	ovr022	-	
randomBonus	ovr022	sub_59FCF	
create_item	ovr022	-	
appraiseGemsJewels	ovr022	-	
can_learn_spell	ovr023	-	
spell_menu	ovr023	-	
add_spell_to_list	ovr023	-	
add_spell_to_learning_list	ovr023	-	
scroll_5C912	ovr023	-	
BuildScrollSpellLists	ovr023	sub_5C9F4	
BuildSpellList	ovr023	sub_5CA74	
SpellRange	ovr023	sub_5CDE5	
GetSpellAffectTimeout	ovr023	sub_5CE92	
DoSpellCastingWork	ovr023	sub_5CF7F	
NonCombatSpellCast	ovr023	-	
sub_5D2E1	ovr023	sub_5D2E1	
sub_5D2E1	ovr023	sub_5D2E1	
localSteppingPathInit	ovr023	-	
MultiTargetedSpell	ovr023	sub_5DB24	
cleric_bless	ovr023	-	
cleric_curse	ovr023	-	
SpellCureLight	ovr023	-	
SpellCauseLight	ovr023	-	
is_affected	ovr023	-	
SpellProtectionFromX	ovr023	-	
SpellResistCold	ovr023	-	
SpellBuringHands	ovr023	sub_5DEE1	
SpellCharm	ovr023	-	
SpellEnlarge	ovr023	-	
SpellReduce	ovr023	-	
SpellFriends	ovr023	-	
SpellMagicMissile	ovr023	sub_5E221	
SpellShield	ovr023	-	
SpellShockingGrasp	ovr023	sub_5E2B2	
SpellSleep	ovr023	-	
SpellHoldX	ovr023	-	
SpellFireResistant	ovr023	-	
SpellSilence15Radius	ovr023	-	
is_affected2	ovr023	-	
SpellSnakeCharm	ovr023	-	
SpellSpiritualHammer	ovr023	sub_5E681	
is_invisible	ovr023	-	
SpellKnock	ovr023	-	
SpellMirrorImage	ovr023	-	
SpellRayOfEnfeeblement	ovr023	-	
SpellStinkingCloud	ovr023	-	
SpellStrength	ovr023	sub_5EC5B	
SpellAnimateDead	ovr023	-	
SpellCureBlindness	ovr023	-	
SpellCauseBlindness	ovr023	-	
sub_5F037	ovr023	-	
SpellCureDisease	ovr023	sub_5F0DC	
SpellCauseDisease	ovr023	-	
sub_5F126	ovr023	sub_5F126	
SpellDispelMagic	ovr023	-	
SpellPrayer	ovr023	-	
SpellRemoveCurse	ovr023	-	
curse	ovr023	-	
spell_blinking	ovr023	-	
sub_5F782	ovr023	-	
RemoveComplimentSpellFirst	ovr023	sub_5F87B	
cast_haste	ovr023	-	
sub_5FA44	ovr023	-	
SpellLightningBolt	ovr023	sub_5FCD9	
SpellSlow	ovr023	sub_5FD2E	
SpellRestoration	ovr023	-	
cast_speed	ovr023	-	
SpellCureSeriousWounds	ovr023	sub_5FF6D	
cast_strength	ovr023	-	
sub_6003C	ovr023	-	
cast_paralyzed	ovr023	-	
cast_heal	ovr023	-	
cast_invisible	ovr023	-	
dam2d4plus2	ovr023	-	
SpellCauseSeriousWounds	ovr023	sub_60185	
SpellNeutralizePoison	ovr023	-	
SpellPoison	ovr023	sub_602D0	
SpellSticksToSnakes	ovr023	-	
SpellCureCriticalWounds	ovr023	sub_603F0	
SpellCauseCriticalWounds	ovr023	sub_60431	
SpellDispelEvil	ovr023	-	
SpellFlameStrike	ovr023	sub_604DA	
SpellRaiseDead	ovr023	-	
SpellSlayLiving	ovr023	-	
SpellEntangle	ovr023	-	
SpellFaerieFire	ovr023	-	
SpellInvisToAnimals	ovr023	-	
SpellCharmMonsters	ovr023	-	
SpellConfusion	ovr023	-	
SpellDimensionDoor	ovr023	-	
SpellFear	ovr023	-	
SpellFireProtection	ovr023	-	
SpellFumble	ovr023	-	
SpellIceStorm	ovr023	sub_60F0B	
SpellMinorGlobeOfInvulnerability	ovr023	sub_60F4E	
SpellCloudKill	ovr023	-	
SpellConeOfCold	ovr023	sub_61550	
SpellFeeblemind	ovr023	sub_615F2	
sub_616CC	ovr023	-	
sub_61727	ovr023	-	
cast_heal2	ovr023	-	
AffectParalizingGaze	ovr023	-	
DragonBreathElec	ovr023	-	
AffectSpitAcid	ovr023	-	
DragonBreathAcid	ovr023	-	
DragonBreathFire	ovr023	-	
cast_breath_fire	ovr023	-	
cast_throw_lightening	ovr023	-	
cast_gaze_paralyze	ovr023	-	
remove_spell_from_scroll	ovr023	-	
DisplayCaseSpellText	ovr023	-	
setup_spells	ovr023	-	
KillPlayer	ovr024	sub_63014	
remove_affect	ovr024	-	
calc_affect_effect	ovr024	-	
in_poison_cloud	ovr024	-	
CanHitTarget	ovr024	sub_641DD	
PC_CanHitTarget	ovr024	-	
RollSavingThrow	ovr024	-	
roll_dice	ovr024	-	
roll_dice_save	ovr024	-	
add_affect	ovr024	-	
RemoveFromCombat	ovr024	sub_644A7	
remove_invisibility	ovr024	-	
RemoveCombatAffects	ovr024	sub_645AB	
RemoveAttackersAffects	ovr024	sub_6460D	
cure_affect	ovr024	-	
encode_strength	ovr024	-	
decode_strength	ovr024	-	
TryEncodeStrength	ovr024	sub_64728	
max_strength	ovr024	-	
ConHitPointBonus	ovr024	sub_647BE	
CalcStatBonuses	ovr024	sub_648D9	
damage_person	ovr024	-	
TryLooseSpell	ovr024	-	
ApplyAttackSpellAffect	ovr024	-	
heal_player	ovr024	-	
combat_heal	ovr024	-	
CalculateAttackValues	ovr025	sub_66023	
CalcArmorWeightEffect	ovr025	sub_6621E	
sub_662A6	ovr025	-	
calc_movement	ovr025	-	
PartySummary	ovr025	-	
display_AC	ovr025	-	
display_hp	ovr025	-	
CombatDisplayPlayerSummary	ovr025	-	
reclac_player_values	ovr025	-	
DexAcBonus	ovr025	-	
DexReactionAdj	ovr025	-	
player_strength_group	ovr025	-	
strengthHitBonus	ovr025	-	
strengthDamBonus	ovr025	-	
max_encumberance	ovr025	-	
lose_item	ovr025	-	
string_print01	ovr025	-	
DisplayPlayerStatusString	ovr025	-	
ClearPlayerTextArea	ovr025	-	
displayPlayerName	ovr025	-	
load_missile_dax	ovr025	-	
load_missile_icons	ovr025	-	
draw_missile_attack	ovr025	-	
MagicAttackDisplay	ovr025	sub_6818A	
FindAffect	ovr025	-	
damage_player	ovr025	-	
DescribeHealing	ovr025	-	
CountCombatTeamMembers	ovr025	-	
getTargetRange	ovr025	-	
clear_actions	ovr025	-	
guarding	ovr025	-	
spellMaxTargetCount	ovr025	-	
LoadPic	ovr025	-	
display_map_position_time	ovr025	-	
RedrawCombatScreen	ovr025	sub_68DC0	
selectAPlayer	ovr025	-	
item_is_ranged_melee	ovr025	-	
is_weapon_ranged	ovr025	-	
is_weapon_ranged_melee	ovr025	-	
GetCurrentAttackItem	ovr025	sub_6906C	
bandage	ovr025	-	
sub_6A00F	ovr026	sub_6A00F	
ReclacClassBonuses	ovr026	sub_6A3C6	
calc_cleric_spells	ovr026	-	
reclac_saving_throws	ovr026	sub_6A7FB	
reclac_thief_skills	ovr026	sub_6AAEA	
SecondClassAllowed	ovr026	-	
DuelClass	ovr026	-	
HumanCurrentClassLevel_Zero	ovr026	-	
getStringListEntry	ovr027	-	
BuildInputKeys	ovr027	-	
displayInput	ovr027	-	
displayInput	ovr027	-	
ClearPromptArea	ovr027	-	
ClearPromptAreaNoUpdate	ovr027	-	
yes_no	ovr027	-	
SetPosition	ovr028	sub_6E005	
Draw	ovr028	-	
Restore	ovr028	-	
RedrawView	ovr029	-	
DrawMaybeOverlayed	ovr030	sub_7000A	
load_pic_final	ovr030	-	
DaxArrayFreeDaxBlocks	ovr030	-	
head_body	ovr030	-	
draw_head_and_body	ovr030	-	
Show3DSprite	ovr030	-	
load_bigpic	ovr030	-	
draw_bigpic	ovr030	-	
DrawAreaMap	ovr031	-	
Draw3dWorldBackground	ovr031	-	
draw_3D_8x8_titles	ovr031	-	
MapCoordIsValid	ovr031	-	
WallDoorFlagsGet	ovr031	-	
getMap_wall_type	ovr031	-	
getMap_XXX	ovr031	-	
get_wall_x2	ovr031	-	
Draw3dWorld	ovr031	-	
LoadWalldef	ovr031	-	
Load3DMap	ovr031	-	
canReachTarget	ovr032	-	
canReachTarget	ovr032	-	
CanSeeCombatant	ovr032	-	
FindCombatantDirection	ovr032	-	
Color_0_8_inverse	ovr033	-	
Color_0_8_normal	ovr033	-	
sub_7416E	ovr033	sub_7416E	
RedrawPosition	ovr033	sub_7431C	
setup_mapToPlayerIndex_and_playerScreen	ovr033	-	
PlayerIndexAtMapXY	ovr033	-	
AtMapXY	ovr033	-	
AtMapXY	ovr033	-	
RedrawPlayerBackground	ovr033	-	
RedrawPlayerBackground	ovr033	-	
CoordOnScreen	ovr033	-	
PlayerOnScreen	ovr033	sub_74761	
PlayerOnScreen	ovr033	sub_74761	
ScreenMapCheck	ovr033	-	
redrawCombatArea	ovr033	-	
draw_74B3F	ovr033	-	
PlayerMapPos	ovr033	-	
PlayerMapSize	ovr033	-	
GetPlayerIndex	ovr033	-	
getGroundInformation	ovr033	-	
getGroundInformation	ovr033	-	
CombatantKilled	ovr033	sub_74E6F	
sub_7515A	ovr033	-	
RedrawCombatIfFocusOn	ovr033	sub_75356	
Load24x24Set	ovr034	-	
DrawIsoTile	ovr034	-	
ReleaseCombatIcon	ovr034	-	
chead_cbody_comspr_icon	ovr034	-	
draw_combat_icon	ovr034	-	
Load8x8D	ovr038	-	
Put8x8Symbol	ovr038	-	
