block_id	offset	encoded_length	text
17	552	61	WE SHOULD LEAVE FOR SALVATION IMMEDIATELY TO GET ROMNEY'S PAPERS TO BUCK ROGERS.'
17	620	57	YOU ENTER YOUR SHIP AND HEAD FOR SALVATION, THE SECRET HEADQUARTERS OF NEO.
17	690	57	YOU MUST FIND THOSE PAPERS YOU GAVE TO DE SADE AND BRING THEM TO SALVATION.'
17	792	82	THE COMPUTER COMES TO LIFE. 'THE CORONATION IS ABOUT TO BEGIN. STAY WHERE YOU ARE AND SOMEONE WILL MEET YOU.'
17	881	152	DE SADE APPROACHES. 'I WARNED BERKELEY THAT YOU WOULD BE MORE TROUBLE THAN YOU'RE WORTH. GO TO THE CORONATION HALL IN THE SOUTHWEST CORNER OF THE STATION AT ONCE, AND STAY OUT OF OTHER PEOPLE'S FIGHTS.'
17	1041	24	SCOT.DOS APPEARS ON THE SCREEN.
17	1194	75	SCOT.DOS LOOKS GRIM. 'THIS IS MORE SERIOUS THAN I THOUGHT. HURRY, LAUNCH PREPARATIONS ARE BEGINNING.
17	1525	30	SECURITY OFFICERS BEGIN QUESTIONING YOU.
17	1568	60	THEY DRAW THEIR WEAPONS. 'THESE ARE THE ONES THAT DESTROYED THE DOOMSDAY LASER!'
17	1677	35	NOTICES A RAM INSIGNIA BENEATH THEIR COLLARS.
17	1731	5	ATTACK
17	1738	3	WAIT
17	1785	19	SECURITY FORCES SPOT YOU.
17	1854	18	TERRAN FORCES RUSH YOU.
17	1980	54	MERCURIANS CONFRONT YOU. ONE MENTIONS SOMETHING ABOUT DE SADE'S ORDERS.
17	2248	12	MAELSTROM RIDER
17	2266	7	CHICAGORG
17	2308	33	LUNARIANS STAND WATCH. DO YOU QUESTION THEM?
17	2395	66	THEY AGREE TO TALK. 'THAT TERRAN'S A NASTY ONE. HE WAS CAUSING TROUBLE OVER BY BERTH A.'
17	2466	28	THE LUNARIANS REFUSE TO GET INVOLVED.
17	2512	6	EPHESUS
17	2524	4	TYCHO
17	2555	51	SECURITY BOTS GUARD THE AIRLOCK. 'ACCESS TO THE WARRENS IS DENIED.'
17	2669	6	HARRIER
17	2681	9	DUKE'S HILL
17	2748	87	THE TERRAN LEADER GLARES AT YOU. 'YOU ARE TOO LATE! WE HAVE ROMNEY AND SOON A NEW ORDER WILL RULE THE SOLAR SYSTEM.
17	2914	54	THE GROUND SHAKES AS A ROCKET BLASTS OFF. THE TERRANS GRIN MALICIOUSLY.
17	3021	75	YOU HEAR THE CARGO ELEVATOR DOORS SNICK SHUT, THEN NOTICE THAT THE TERRAN LEADER'S BODY IS MISSING.
17	3123	15	THE TERRANS ATTACK!
17	3168	54	RAM WARRIORS STAND BY THE AIRLOCK WITH GUARD DOGS. 'NEO SCUM,' ONE SAYS.
17	3230	8	IGNORE HIM
17	3240	13	RETURN THE INSULT
17	3264	26	SPOILING FOR A FIGHT, THEY ATTACK!
17	3327	7	GYRFALCON
17	3340	6	PAVONIS
17	3366	24	THE TELLTALE ON THE DOOR READS,
17	3395	5	BERTH
17	3416	6	SHIP:
17	3430	9	HOMEPORT:
17	3455	58	A SERVICE DROID APPROACHES YOU. 'WELCOME TO THE RISING SUN. ARE YOU STAYING?'
17	3552	51	AN OLD ROCKET JOCK WITH BLEARY EYES GREETS YOU WITH A SLURRED VOICE.
17	3765	35	A DISEMBODIED VOICE ECHOES THROUGH THE HALL, '
17	3909	20	YOU ENTER A DOCKSIDE BAR.
17	3937	7	BUY DRINK
17	3946	3	TALK
17	3951	4	LEAVE
17	3973	13	YOU BUY A DRINK.
17	4084	78	A MINER BECOMES INTERESTED. 'IN THE WARRENS, THEY SAY BERKELEY IS GOING TO GIVE AWAY ALL OUR BUSINESS.'
17	4208	85	A DANCER TELLS YOU HOW SHE WAS HARASSED BY THE TERRANS AT BERTH A. 'I WASN'T DOING ANYTHING. CALLED ME SUBHUMAN.'
17	4307	23	YOU CHAT WITH THE MINERS. NOW
17	4337	51	A TINNY VOICE INTONES, 'THIS IS A CARGO ELEVATOR ONLY. PLEASE EXIT.'
17	4400	33	TECHNICIANS ARE BUSY AT THEIR COM STATIONS.
17	4458	9	ONE SAYS, '
17	4483	33	THE PORTMASTER IS TOO BUSY TO SPEAK TO YOU.
17	4521	25	HONOR GUARDS STAND AT ATTENTION.
17	4598	24	SECURITY FORCES BLOCK YOUR WAY.
17	4630	5	ATTACK
17	4637	6	QUESTION
17	4645	4	LEAVE
17	4701	23	ALARMS SOUND THROUGH THE PORT.
17	4901	37	CHANCELLOR DE SADE SHAKES YOUR HAND GRACIOUSLY. '
17	4951	72	WITH BERKELEY DEAD, THERE IS NO NEED TO CONTINUE ANY NEGOTIATIONS ON AN ALLIANCE. NEVERTHELESS,
17	5027	45	IT IS GOOD THAT YOU WERE HERE, AND TO SHOW OUR APPRECIATION,
17	5075	27	HERE IS PAYMENT FOR YOUR SERVICES.'
17	5136	68	YOU NEGOTIATE WITH THE CHANCELLOR, BUT FAIL TO COME TO ANY FIRM AGREEMENT ON THE ALLIANCE.
17	5209	34	DO YOU TELL HIM ABOUT ROMNEY AND THE TERRANS?
17	5252	27	YOU GO OVER ROMNEY'S PAPERS WITH HIM
17	5521	87	HE EYES YOU FOR A LONG MOMENT, DEBATING SOMETHING IN HIS MIND. HE FLASHES A SEDUCTIVE SMILE AND CHANGES THE SUBJECT.
17	5612	42	DE SADE ENTERTAINS YOU FOR A WHILE LONGER, THEN LEAVES.
17	5696	40	DE SADE AND RAM AGENTS ARE EXAMINING ROMNEY'S PAPERS.
17	5777	21	YOU COLLECT ROMNEY'S PAPERS.
17	5826	12	NOBODY IS HERE.
17	5856	117	A MAN CARRYING A BUNDLE OF PAPERS RUSHES UP TO YOU. HE GRABS YOUR ARM DESPERATELY. 'I AM DR. ROMNEY. PLEASE HELP ME GET TO THE SUN KING. IT IS MOST URGENT.'
17	5977	96	BEFORE HE CAN EXPLAIN, YOU HEAR THE STOMP OF BOOTED FEET AND THE CLAMOR OF ARMS BEING READIED. ROMNEY CRIES OUT IN EXASPERATION.
17	6215	75	NOTICES THAT THE LEADER IS WEARING A DISTINCTIVE RING, THE LETTERS P-U-R-G-E DISPLAYED PROMINENTLY.
17	6310	50	THE TERRAN LEADER GRABS ROMNEY AND SHOVES HIM TOWARD A GROUNDCAR.
17	6368	9	HELP ROMNEY
17	6379	10	CALL SECURITY
17	6391	9	AID TERRANS
17	6425	51	YOU TRY TO GET ROMNEY AWAY FROM THE TERRANS, BUT THE LEADER QUICKLY
17	6479	69	PUSHES ROMNEY INTO THE CAR AND SPEEDS OFF TO THE SOUTH, SHOUTING, 'KILL THESE ABOMINATIONS!'
17	6583	77	YOU SHOUT FOR SECURITY AS THE TERRAN LEADER PUSHES ROMNEY INTO THE GROUNDCAR AND THEY SPEED SOUTHWARD.
17	6677	95	SECURITY FORCES ARRIVE. THEY ASSURE YOU THAT THEY WILL ROUND UP THE TROUBLE MAKERS AND SORT THINGS OUT AT THE SECURITY OFFICE.
17	6780	45	NOW THAT YOU ARE ALONE, DO YOU LOOK AT THE BUNDLE OF PAPERS?
17	6831	15	YOU OPEN THE BUNDLE
17	7051	21	THIS IS A PRIVATE RESIDENCE.
17	7077	12	DOCKSIDE SUPPLY
17	7121	98	THE HALL IS THRONGED WITH DIGNITARIES AND PERSONAGES FROM DIVERSE CULTURES: DANCERS, MUSICIANS, LUNARIANS, VENUSIANS, AND TERRANS.
17	7234	47	NOTICES THE CHANCELLOR TALKING FURTIVELY WITH A GROUP OF MEN.
17	7303	137	THE SUN KING ASCENDS THE DAIS. 'BROTHERS AND SISTERS, I ACCEPT THIS CROWN IN YOUR NAME AND ASK YOU TO SHARE MY DREAM: A SOLAR SYSTEM FILLED WITH BROTHERLY LOVE, WHERE HARMONY REIGNS.
17	7548	60	NOTICES A GROUP OF MARTIANS REACHING INTO THEIR ROBES, POSSIBLY FOR A WEAPON.
17	7616	3	WAIT
17	7621	5	ATTACK
17	7628	18	KNOCK DOWN THE SUN KING
17	7677	96	THE HALL ERUPTS IN VIOLENCE AS THE MARTIANS PULL THEIR WEAPONS AND FIRE. THE SUN KING COLLAPSES WITH A GREAT WOUND IN HIS CHEST.
17	7794	99	YOU KNOCK THE SUN KING BEHIND THE DAIS JUST AS THE ASSASSINS FIRE. THE MASSIVE VID-SCREEN BEHIND HIM EXPLODES IN A SHOWER OF SPARKS.
17	7976	90	THE SUN KING THANKS YOU FOR SAVING HIS LIFE. 'SEE MY CHANCELLOR IN THE ROOM TO THE SOUTHEAST. HE'LL SEE TO YOUR REWARD.'
17	8081	108	THE CHANCELLOR GRABS YOUR ARM. 'BERKELEY IS DEAD, WHICH PUTS ME IN POWER. SEE ME IN MY OFFICE JUST SOUTHEAST. I WILL PAY YOU FOR YOUR SERVICE.'
17	8087	78	CELLOR GRABS YOUR ARM. 'BERKELEY IS DEAD, WHICH PUTS ME IN POWER. SEE ME IN MY OFFICE JUST SOUTHEAST. I
17	8211	33	PEOPLE MILL ABOUT, WAITING FOR THE SUN KING.
17	8249	9	THE SUN SPOT
17	8269	11	PORT AUTHORITY
17	8290	11	THE RISING SUN
17	8311	12	SECURITY OFFICE
17	8329	12	A PLAQUE READS,
17	8365	39	THE AUTODOCS HUM SOOTHINGLY. 'DO YOU NEED HEALING?'
17	8413	14	WHICH TEAM MEMBER?
17	8495	10	SOMEONE ELSE?
17	8520	6	SORRY.
17	8533	8	IS DEAD.
17	8552	10	IS HEALTHY.
17	8569	5	CLINIC
17	8588	9	THEY ATTACK!
17	8648	35	HOLD ON, A MESSAGE FOR YOU IS JUST COMING IN.'
17	8739	18	TOO BAD ABOUT BERKELEY.
17	8761	12	GOOD WORK TEAM!
17	8853	11	BUCK'S MESSAGE
17	8950	10	WHAT YOU FIND
17	8993	10	IS HEALED...
18	21	9	DA94,IDA
18	110	20	BUCK IS WAITING FOR YOU. '
18	143	61	IT'S A PITY ABOUT LORD BERKELEY. HIS MESSAGE OF PEACE MIGHT HAVE UNITED MERCURY.'
18	208	57	GOOD JOB, TEAM. A LITTLE OF LORD BERKELEY'S PHILOSOPHY IS JUST WHAT MERCURY
18	271	6	NEEDS.'
18	281	80	BUCK TAKES DR. ROMNEY'S NOTES. 'VERY INTERESTING. I'LL HAVE SCOT.DOS LOOK AT THESE. THEY MAY PROVE USEFUL.
18	642	27	YOU CHECK IN WITH COMMANDER ROGERS.
18	706	81	YOU ARRIVE AT SALVATION. AS BUCK GUIDES THE CRUISER IN, YOU SEE THE MAELSTROM RIDER DOCKED IN THE NEXT BAY!
18	791	49	YOU, BUCK, NATBAKKA, AND THE OTHERS DISEMBARK. BUCK TURNS TO YOU.
18	884	44	TOLD ME THAT PURGE HAS A SPY PLANTED AT OUR FORTUNA BASE.
18	1145	47	BUCK GUIDES THE OTHERS OFF AS YOU ENTER SALVATION'S MAIN HALL.
18	1211	18	BUCK SENDS YOU BACK OUT.
18	1403	24	BUCK REMINDS YOU OF YOUR MISSION
18	1460	22	FIND DR. CHADE IN LOSANGELORG
18	1514	37	FIND THAT GRAVITATIONAL MECHANICS EXPERT ON VENUS
18	1637	24	BUCK REMINDS YOU OF YOUR MISSION
18	1701	18	FIND DR. COLDOR ON LUNA
18	1723	32	SEARCH FOR THE NEO SPY AT OUR FORTUNA BASE
18	1783	29	FIND DR. MALCOLN AT PURGE HEADQUARTERS
18	1827	53	BUCK MEETS YOU. 'YOU SHOULD GO FIND THE STORMRIDERS' FUNGUS ASTEROID.'
18	1982	84	RAM WILL GET THEIR LASER. WE WERE LUCKY TO STOP THEM THIS TIME. WE MIGHT NOT BE SO LUCKY IN THE FUTURE.JQJI91#
18	2107	12	BUCK CONTINUES,
18	2122	7	HIS WORDS
18	2191	85	SCOT.DOS' IMAGE APPEARS ON BUCK'S COMM SCREEN. 'HELLO, COMMANDER. I HAVEN'T FOUND MUCH, BUT HERE'S WHAT I'VE GOT.
18	2580	84	I CAN GATHER, I SUSPECT THAT RESEARCH IN GRAVITATIONAL MECHANICS IS BEING DONE SOMEWHERE IN THE VENUS LOWLANDS.
18	2883	67	BUCK BRINGS YOU TO HIS OFFICE. 'WE HAVE SOME NEW INFORMATION FOR YOU...SCOT.DOS, REPORT.'
18	3338	66	BUCK HANDS YOU A PASSCARD. 'THIS WILL GET YOU INTO TOWER ISLE, AGENT CARRIN'S BUILDING.'
18	3408	17	YOU TAKE THE PASSCARD,
18	3637	118	BUCK TURNS TO LEAVE, BUT CARLTON TURABIAN AND NATBAKKA RUSH UP. 'BUCK, WE'VE JUST RECEIVED A RADIO MESSAGE FROM LEANDER ON JUPITER. I'M AFRAID IT'S BAD NEWS.
18	3887	106	NATBAKKA CHIMES IN. 'YES, MY PEOPLE ARE COMBATTING THE TYRANNY OF OUR GENOTYPE CREATORS, GENETICS FOUNDATION. I UNDERSTAND MAKALI'S DILEMMA.'
18	4000	107	BUCK TURNS TO YOU. 'WE'LL HAVE TO FIGURE OUT A WAY TO GET YOU TO JUPITER. WE DON'T HAVE A SHIP WITH ENOUGH FUEL CAPACITY TO GET THERE. HMM...'
18	4405	18	WHERE DO YOU WISH TO GO?
18	4436	5	CLINIC
18	4443	4	DEPOT
18	4449	6	TRAINING
18	4457	3	PORT
18	4498	27	YOU ARE IN THE SALVATION PORT AREA.
18	4535	5	LAUNCH
18	4542	5	REPAIR
18	4549	3	FUEL
18	4554	3	AMMO
18	4559	6	MED SUP
18	4567	3	EXIT
18	4597	27	YOU PREPARE YOUR SHIP FOR LAUNCH...
18	4693	17	YOUR SHIP IS REFUELED.
18	4725	27	THE NEO MECHANICS REPAIR YOUR SHIP.
18	4811	27	YOUR MEDICAL SUPPLIES ARE RESTOCKED.
18	4852	26	NEO TECHNICIANS RESTOCK YOUR AMMO.
18	4875	19	SS; BPFTAMBPETEMBPD
18	4938	8	YOU SLEEP.
18	4961	25	YOU WAKE AND LEAVE YOUR QUARTERS.
18	4997	30	THE AUTODOC HEALS EVERYONE IN THE TEAM.
18	5101	12	IS DEAD. SORRY.
18	5139	10	IS HEALED...
18	5179	41	YOU ENTER 'THE LOST ORBIT' -- SALVATION'S PORT LOUNGE.
18	5225	12	WHAT DO YOU DO?
18	5245	8	BUY DRINKS
18	5255	3	TALK
18	5260	3	WAIT
18	5265	3	EXIT
18	5298	21	A ROUND OF DRINKS WILL COST
18	5326	7	CREDITS.
18	5337	18	WHO PAYS FOR THE DRINKS?
18	5396	15	PAYS FOR THE DRINKS
18	5421	33	JUST AS THE BARTENDER SHOUTS, 'LAST CALL!'
18	5495	31	IS IN NO CONDITION TO PAY! SOMEONE ELSE?
18	5543	22	DOESN'T HAVE ENOUGH CREDITS!
18	5593	25	YOU CHAT WITH THE OTHER PATRONS.
18	5662	21	NOTHING NOTEWORTHY HAPPENS.
18	5711	16	YOU WAIT IN THE BAR.
18	5734	20	THE BARTENDER YELLS, HEY!
18	5775	28	YOU BUMS GONNA BUY A DRINK...OR WHAT?
18	5810	46	THIS AIN'T NO PUBLIC PARK! BUY A DRINK...OR BLAST OUTTA HERE!
18	5861	15	DO YOU BUY A DRINK?
18	5885	21	THE BARTENDER KICKS YOU OUT.
18	5938	57	A CLERK APPROACHES YOUR TABLE. 'HEARD ABOUT WHAT HAPPENED IN NEW LONDONORG?
18	6096	63	CARLTON TURABIAN WALKS UP. 'STEP IT UP, FOLKS! DON'T YOU HAVE BETTER THINGS TO DO?'
18	6163	8	HE LEAVES.
18	6182	61	A NEO CAPTAIN BUYS A ROUND OF DRINKS. 'WE JUST SHOT UP A RAM CRUISER OFF AURORA!'
18	6256	33	A CHEER GOES UP. THE BARTENDER LOOKS HAPPY.
18	6296	30	AN UNKEMPT LOOKING ROCKET JOCK STEPS UP.
18	6426	7	WHO BETS?
18	6521	106	AGREES TO BET. YOU WATCH IN AMAZEMENT AS THE MAN SETS AN EMPTY GLASS ON A TABLE, STEPS ACROSS THE ROOM, AND TOSSES A COIN OVER HIS SHOULDER.
18	6631	48	THE COIN SPINS THROUGH THE AIR AND LANDS SQUARELY IN THE GLASS.
18	6683	19	THE MAN RETURNS. 'PAY UP
18	6715	15	DO YOU PAY YOUR BET?
18	6862	21	THE BARTENDER KICKS YOU OUT.
18	6919	40	YOU NOTICE CARLTON TURABIAN DRINKING IN A BACK BOOTH.
18	6963	32	HE EYES YOU WITH DISAPPROVAL AS HE LEAVES.
18	7006	50	AN OLD WARRIOR EYES YOU WITH APPROVAL. HE DRAWS A FINE MONO SWORD.
18	7279	99	A MINER TELLS YOU ABOUT JUPITER, 'I'D LIKE TO GET INTO DIP MINING THE JUPITER ATMOSPHERE, BUT THOSE STORMRIDERS GOT IT ALL TIED UP!'
18	7441	44	THE BAR CLOSES. YOU GO TO YOUR QUARTERS. YOU CLIMB IN BED.
18	7493	14	YOU LEAVE THE BAR.
18	7532	7	HOW MUCH?
18	7569	84	BUCK GREETS PROFESSOR CHADE, 'IT IS A PLEASURE TO MEET YOU DR. CHADE. WE ARE GLAD TO PUT YOUR WORK TO GOOD USE.'
18	7657	59	STEFI SPEAKS, 'YOUR AGENTS HAVE TOLD ME ABOUT YOUR PROJECT. I HIGHLY APPROVE.'
18	7720	18	SHE HANDS BUCK HER NOTES
18	7751	33	AND THE FISSION CHAMBER SIMULATION PROGRAM
18	7822	69	BUCK ASSIGNS AN AIDE TO HELP STEFI SETTLE IN. SHE LEAVES, 'I'LL SEE YOU AROUND. GOOD LUCK!'
18	7916	66	BUCK PRAISES YOU FOR YOUR CONDUCT ON VENUS. 'LEANDER ARRIVED HERE JUST A FEW HOURS AGO.
18	8082	100	BUCK SPEAKS. 'I NEVER WOULD HAVE SUSPECTED THAT OUR SPY WAS ZACARY CEBERT! TOO BAD HE DIDN'T SURVIVE, I'D HAVE LIKED TO QUESTION HIM.
18	8303	84	YOU HAND BUCK THE EFANITE FILES. 'GREAT, TEAM! WE'VE PROVIDED LEANDER WITH THE BEST CHEMISTRY EQUIPMENT WE HAVE.
19	255	17	YOUR PARTY IS INJURED.
19	278	23	DO YOU WANT TO USE THE CLINIC?
19	321	32	LIFE SUPPORT HAS SUFFERED TOO MUCH DAMAGE.
19	361	13	WHICH TEAM MEMBER
19	422	30	DO YOU WANT TO FIX ANOTHER TEAM MEMBER?
19	469	12	IS DEAD. SORRY.
19	505	21	IS ALREADY IN GOOD HEALTH.
19	594	38	A SHOCK WAVE ROCKS YOUR SHIP AS THE BASE EXPLODES.
19	636	37	YOU HEAR THE TINK OF DEBRIS AS IT HITS YOUR SHIP.
19	686	84	YOU PUT SOME DISTANCE BETWEEN YOUR SHIP AND THE BASE, THEN WATCH AS IT EXPLODES IN A BRILLIANT SHOWER OF SPARKS.
19	796	26	A HEAVY CRUISER BARRELS IN ON YOU.
19	931	35	SCOT.DOS HAILS YOU URGENTLY. 'BATTLE STATIONS!
19	1085	18	A 1JALLD88UJX0EL UNYH
19	1087	24	LR SCANNER FLASHES FRANTICALLY.
19	1115	29	IT SHOWS A HEAVY CRUISER CLOSING FAST.
19	1175	36	THE PIRATE SHIP SOON DISAPPEARS OFF LR SCANNER.
19	1242	41	DEBRIS FROM THE DESTROYED SHIP TINKS AGAINST THE HULL.
19	1385	120	YOU EASE INTO ORBIT AROUND MERCURY AND FLIP THE COM SWITCH FOR A FINAL BRIEFING. THE IMAGE OF BUCK ROGERS, NOW IN CHARGE OF SPECIAL MISSIONS, APPEARS ONSCREEN.
19	1899	87	YOU STEP OUT ONTO THE EXPANSIVE DOCK AND FIND IT THRONGED WITH PEOPLE DRESSED FOR THE CORONATION. A MAN APPROACHES.
19	2122	13	YOU CAN'T MOVE...
19	2139	16	YOU DRIFT IN SPACE...
19	2185	18	YOU RADIO NEO FOR HELP.
19	2246	32	A NEO CRUISER FINDS YOU AND HELPS YOU OUT.
19	2691	4	HIELO
19	2697	3	EXIT
19	2734	9	NEW ELYSIUM
19	2745	11	VENUS LOWLANDS
19	2758	3	EXIT
19	2787	9	NEW ELYSIUM
19	2798	3	EXIT
19	2819	23	MOVE INTO AN APPROACH PATTERN?
19	2883	7	SALVATION
19	2892	9	LOSANGELORG
19	2903	4	TYCHO
19	2930	7	SALVATION
19	2939	4	TYCHO
19	2963	7	SALVATION
19	2972	9	DUKE'S HILL
19	2983	4	TYCHO
19	2989	8	COPERNICUS
19	3026	6	PAVONIS
19	3034	3	EXIT
19	3076	4	CERES
19	3082	3	EXIT
19	3105	4	CERES
19	3111	6	RAM BASE
19	3119	3	EXIT
19	3148	4	VESTA
19	3154	3	EXIT
19	3196	6	FORTUNA
19	3204	3	EXIT
19	3238	6	FORTUNA
19	3246	6	NEO BASE
19	3254	3	EXIT
19	3283	5	PALLAS
19	3290	3	EXIT
19	3316	5	PSYCHE
19	3323	3	EXIT
19	3360	3	JUNO
19	3365	3	EXIT
19	3391	3	JUNO
19	3396	12	FUNGUS ASTEROID
19	3410	3	EXIT
19	3439	5	HYGEIA
19	3446	3	EXIT
19	3472	5	AURORA
19	3479	3	EXIT
19	3505	4	THULE
19	3511	3	EXIT
19	4024	81	THE COM SQUAWKS WITH AN INCOMING MESSAGE. '...TO MAELSTROM RIDER... DR. WILLIAMS. IS THAT YOU DR. WILLIAMS?'
19	4233	22	YOU GUIDE THE SHIP INTO DOCK.
19	4668	15	SENSORS IDENTIFY A
19	4690	12	ON LR SCANNER.
